"id","시군","시설명","경위도X좌표","경위도Y좌표","정제도로명주소","정제지번주소","소재지","시설종류","시설분류","정원","대분류","소분류","대분류2","소분류2","대분류3","소분류3","homepage","tel","created_at","updated_at"
1,경상남도 창원시,창원성심양로원,"128.5741451","35.34878761",경남 창원시 의창구 북면 단내로 501,경남 창원시 의창구 북면 내곡리 1234,창원시 의창구 북면 단내로 501,양로시설,생활시설,"65","5. 돌봄","5-2. 시설보호","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",https://www.sungsim.or.kr,"055-299-6723","2026-04-01 07:55:49","2026-04-04 13:48:04"
2,경상남도 창원시,애양원,"128.4887005","35.11060386",경남 창원시 마산합포구 진동면 요장해안길 7-18,경남 창원시 마산합포구 진동면 요장리 620-6,경남 창원시 마산합포구 진동면 요장해안길 7-18,양로시설,생활시설,"45","5. 돌봄","5-2. 시설보호","2. 신체적 건강","2-1. 건강증진","3. 정신적 건강","3-1. 정신건강 증진 ",www.애양원com,"055-271-2131","2026-04-01 07:55:49","2026-04-04 13:48:04"
3,경상남도 창원시,하느님의 뜰,"128.4765267","35.13522741",경남 창원시 마산합포구 진북면 신촌마을길 16-7,경남 창원시 마산합포구 진북면 신촌리 269,경남 창원시 마산합포구 진북면 신촌마을길 16-7,노인요양공동생활가정,생활시설,"9","2. 신체적 건강","1-2. 주거관련 비용지원","1.경제(현금중심)","1-4. 일상생활 관련 비용지원","3. 정신적 건강","1-5. 보호·돌봄·요양 관련 비용지원",없음,"055-271-7585","2026-04-01 07:55:49","2026-04-04 13:48:04"
4,경상남도 통영시,해송양로원,"128.4476336","34.85159536",경남 통영시 용남면 용남해안로 108-30,경남 통영시 용남면 화삼리 448-2,경상남도 통영시 용남면 용남해안로 108-30,양로시설,생활시설,"28","4. 주거","4-1. 주거환경관리","5. 돌봄","5-1. 일상생활 유지·돌봄지원","11. 문화 및 여가","11-1. 문화복지",haesong.or.kr,"055-649-5606","2026-04-01 07:55:49","2026-04-04 13:48:04"
5,경상남도 사천시,남양양로원,"128.0518363","34.96435406",경남 사천시 모충길 50(송포동),경남 사천시 송포동 1152-1,사천시 모충길 50,양로시설,생활시설,"50","4. 주거","4-2. 주거지 제공 및 이주 지원","5. 돌봄","5-2. 시설보호","2. 신체적 건강","2-1. 건강증진",www.samsowon.com,"055-835-9100","2026-04-01 07:55:49","2026-04-04 13:48:04"
6,경상남도 거제시,거제사랑의집,"128.5779503","34.87868711",경남 거제시 거제면 두동로 308-25,경남 거제시 거제면 옥산리 301-5,거제면 두동로 308-25,양로시설,생활시설,"56","5. 돌봄","5-2. 시설보호","5. 돌봄","5-1. 일상생활 유지·돌봄지원","2. 신체적 건강","2-1. 건강증진",www.jwon.or.kr,"055-632-6351","2026-04-01 07:55:49","2026-04-04 13:48:04"
7,경상남도 양산시,통도사자비원양로시설,"129.0895874","35.49581917",경남 양산시 하북면 월평1길 21,경남 양산시 하북면 순지리 272-3,경상남도 양산시 하북면 월평1길 21,양로시설,생활시설,"50","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","","","","",없음,"055-381-3999","2026-04-01 07:55:49","2026-04-04 13:48:04"
8,경상남도 양산시,무아의집,"129.0738595","35.37006376",경남 양산시 호계길 80(호계동),경남 양산시 호계동 376,경상남도 양산시 호게길80,양로시설,생활시설,"29","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","","","","",없음,"055-385-5838","2026-04-01 07:55:49","2026-04-04 13:48:04"
9,경상남도 양산시,로뎀실버빌,"129.068073","35.46003333",경남 양산시 하북면 감림산길 55,경남 양산시 하북면 삼감리 510-4,경상남도 양산시 하북면 감림산길55,노인복지주택,생활시설,"30","5. 돌봄","1-5. 보호·돌봄·요양 관련 비용지원","","","","",http://www.ecoview.co.kr/,"055-367-5588","2026-04-01 07:55:49","2026-04-04 13:48:04"
10,경상남도 의령군,일붕실버랜드,"128.2384316","35.43562775",경남 의령군 궁류면 청정로 1180-42,경남 의령군 궁류면 평촌리 175,궁류면 청정로 1180-42,양로시설,생활시설,"159","4. 주거","1-4. 일상생활 관련 비용지원","3. 정신적 건강","1-4. 일상생활 관련 비용지원","4. 주거","1-4. 일상생활 관련 비용지원",http://www.ilbung.co.kr/,"055-572-9990","2026-04-01 07:55:49","2026-04-04 13:48:04"
