시군구,센터명,읍면동,연락처,주소
창원시,,,,(51435) 창원시 성산구 중앙대로 151
의창구,,,,(51381) 창원시 의창구 원이대로 80
의창구,동읍행정복지센터,동읍,055-212-5100,(51128) 창원시 의창구 동읍 동읍로 88
의창구,북면행정복지센터,북면,055-212-5200,(51103) 창원시 의창구 북면 천주로 1085
의창구,대산면행정복지센터,대산면,055-212-5300,(51124) 창원시 의창구 대산면 가술산단동로 10
의창구,의창동행정복지센터,의창동,055-212-5400,(51194) 창원시 의창구 서상로12번길 83-9
의창구,팔룡동행정복지센터,팔룡동,055-212-5500,(51374) 창원시 의창구 팔용로 435
의창구,명곡동행정복지센터,명곡동,055-212-5600,(51168) 창원시 의창구 태복산로15번길 8
의창구,봉림동행정복지센터,봉림동,055-212-5700,(51157) 창원시 의창구 대봉로26번길 5
성산구,,,,(51539) 창원시 성산구 창원대로 1086
성산구,반송동행정복지센터,반송동,055-272-5100,(51427) 창원시 성산구 원이대로473번길 19-14
성산구,중앙동행정복지센터,중앙동,055-272-5200,(51524) 창원시 성산구 외동반림로 5
성산구,용지동행정복지센터,용지동,055-272-5800,(51431) 창원시 의창구 용지로239번길 19-4
성산구,상남동행정복지센터,상남동,055-272-5300,(51502) 창원시 성산구 동산로 73
성산구,사파동행정복지센터,사파동,055-272-5400,(51461) 창원시 성산구 대암로 109
성산구,가음정동행정복지센터,가음정동,055-272-5500,(51484) 창원시 성산구 가음로13번길 31
성산구,성주동행정복지센터,성주동,055-272-5600,(51539) 창원시 성산구 공단로 735
성산구,웅남동행정복지센터,웅남동,055-272-5700,(51563) 창원시 성산구 신촌로 50
마산합포구,,,,(51736) 창원시 마산합포구 3·15대로 210
마산합포구,구산면행정복지센터,구산면,055-220-5010,(51779) 창원시 마산합포구 구산면 구산로 
마산합포구,진동면행정복지센터,진동면,055-220-5080,(51792) 창원시 마산합포구 진동면 신서촌로 11
마산합포구,진북면행정복지센터,진북면,055-220-5160,(51794) 창원시 마산합포구 진북면 지산5길 80
마산합포구,진전면행정복지센터,진전면,055-220-5230,(51797) 창원시 마산합포구 진전면 대실로 155
마산합포구,현동행정복지센터,현동,055-220-5310,(51777) 창원시 마산합포구 현동7길 27
마산합포구,가포동행정복지센터,가포동,055-220-5350,(51755) 창원시 마산합포구 가포해안길 33
마산합포구,월영동행정복지센터,월영동,055-220-5390,(51769) 창원시 마산합포구 월영마을로 3
마산합포구,문화동행정복지센터,문화동,055-220-5430,(51764) 창원시 마산합포구 문화남5길 36
마산합포구,반월중앙동행정복지센터,반월중앙동,055-220-5510,(51761) 창원시 마산합포구 중앙남5길 45
마산합포구,완월동행정복지센터,완월동,055-220-5560,(51264) 창원시 마산합포구 완월동11길 6
마산합포구,자산동행정복지센터,자산동,055-220-5610,(51254) 창원시 마산합포구 자산동5길 1
마산합포구,오동동행정복지센터,오동동,055-220-5650,(51731) 창원시 마산합포구 동서북4길 13
마산합포구,교방동행정복지센터,교방동,055-220-5730,(51276) 창원시 마산합포구 교방동5길 18
마산합포구,합포동행정복지센터,합포동,055-220-5850,(51334) 창원시 마산합포구 허당로 31
마산합포구,산호동행정복지센터,산호동,055-220-5890,(51331) 창원시 마산합포구 산호남로 60
마산회원구,,,,(51323) 창원시 마산회원구 삼호로 63 마산야구센터내 올림픽기념관
마산회원구,내서읍행정복지센터,내서읍,055-230-5010,(51229) 창원시 마산회원구 내서읍 중리상곡로 65
마산회원구,회원1동행정복지센터,회원1동,055-230-5210,(51297) 창원시 마산회원구 회원동11길 7
마산회원구,회원2동행정복지센터,회원2동,055-230-5260,(51295) 창원시 마산회원구 회원서12길 14
마산회원구,석전동행정복지센터,석전동,055-230-5360,(51304) 창원시 마산회원구 석전동4길 52 
마산회원구,회성동행정복지센터,회성동,055-230-5410,(51311) 창원시 마산회원구 북성로 327
마산회원구,양덕1동행정복지센터,양덕1동,055-230-5460,(51364) 창원시 마산회원구 팔용로 25
마산회원구,양덕2동행정복지센터,양덕2동,055-230-5510,(51366) 창원시 마산회원구 율림교로 3
마산회원구,합성1동행정복지센터,합성1동,055-230-5560,(51209) 창원시 마산회원구 합성서3길 21
마산회원구,합성2동행정복지센터,합성2동,055-230-5610,(51357) 창원시 마산회원구 합성남8길 46
마산회원구,구암1동행정복지센터,구암1동,055-230-5660,(51206) 창원시 마산회원구 구암서2길 95
마산회원구,구암2동행정복지센터,구암2동,055-230-5710,(51350) 창원시 마산회원구 구암남16길 12
마산회원구,봉암동행정복지센터,봉암동,055-230-5760,(51342) 창원시 마산회원구 봉양로 148
진해구,,,,(51629) 창원시 진해구 진해대로 1101
진해구,충무동행정복지센터,충무동,055-548-6200,(51679) 창원시 진해구 중원로74번길 6
진해구,여좌동행정복지센터,여좌동,055-548-6250,(51689) 창원시 진해구 여명로 77
진해구,태백동행정복지센터,태백동,055-548-6300,(51666) 창원시 진해구 중초로9번길 38
진해구,경화동행정복지센터,경화동,055-548-6350,(51670) 창원시 진해구 경화로8번길 5
진해구,병암동행정복지센터,병암동,055-548-6400,(51670) 창원시 진해구 경화로16번길 31
진해구,석동행정복지센터,석동,055-548-6450,(51586) 창원시 진해구 돌리로 3
진해구,이동행정복지센터,이동,055-548-6500,(51663) 창원시 진해구 냉천로12번길 9
